#Digilent WaveForms Network Analyzer - Bode
#Device Name: mydevice
#Serial Number: SN:210321AA27F4
#Date Time: 2024-11-14 19:52:24.391
#Start: 100 Hz
#Stop: 50000 Hz
#Steps: 151
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.46142 V
#Offset: 0.000236066 V
#Relative: no
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -5 V

Frequency (Hz),Channel 1 Magnitude (dB),Channel 1 Phase (deg)
100.0000000000001,-0.01717613512443655,-0.4220944678275131
104.2300949424216,-0.01715649574160324,-0.4391749514815757
108.6391269170621,-0.01714155104369816,-0.4584291635287059
113.2346651302716,-0.01719984398739791,-0.4785752020300578
118.0245989730151,-0.01728393961754745,-0.4976980848050232
123.0171515649861,-0.01710150963018128,-0.5200429711977961
128.2208938716475,-0.01713007992627927,-0.5407267696866001
133.6447594184397,-0.01717478359419528,-0.56417790296058
139.2980596274105,-0.01703000162575424,-0.5883111779010051
145.1904998026008,-0.01737994376870051,-0.6133227265253858
151.3321957916271,-0.01730508187356285,-0.6380057636899892
157.7336913520643,-0.01705536602072069,-0.6662304183053038
164.4059762524425,-0.01711638593105522,-0.6945377884372306
171.360505138936,-0.01726657102592271,-0.7224991421256401
178.609217200126,-0.01730313437728479,-0.7528316719182158
186.1645566636072,-0.01734747961205063,-0.7865350001918614
194.0394941596158,-0.01715881847192715,-0.8188510370507629
202.247548988362,-0.01758363654879566,-0.8539566849975984
210.8028123292901,-0.01718763034576347,-0.8883282083919966
219.7199714321139,-0.01760571243118147,-0.9273977674945968
229.0143348311534,-0.01786315815168519,-0.9650928074494232
238.7018586262665,-0.0173835665198242,-1.006240620978424
248.7991738754823,-0.01724213615820931,-1.048815875846938
259.3236151463755,-0.01736241917765234,-1.093760292445118
270.2932502751869,-0.01726078848911188,-1.139987590459029
281.7269113847843,-0.01796803876672652,-1.187382810162887
293.6442272147124,-0.0177866399004675,-1.237915629349942
306.0656568188346,-0.0177903039658595,-1.291465675738877
319.0125246884172,-0.01731140207316573,-1.344179108228046
332.5070573609534,-0.01766771503606472,-1.400425562173709
346.5724215775736,-0.01770041834388687,-1.46006710638596
361.2327640545542,-0.01814413315662107,-1.523390976997831
376.5132529371953,-0.01820484149189608,-1.587301341858236
392.4401210072382,-0.01778474430184488,-1.653235439562309
409.0407107179982,-0.01783580428441861,-1.722821467356681
426.3435211345256,-0.01836780030405,-1.794789557906071
444.3782568593789,-0.01873697492343093,-1.870981285360884
463.1758790280082,-0.01861875639640948,-1.950550268762505
482.7686584612883,-0.01892864679213186,-2.031633221535127
503.1902310664553,-0.01778512987567248,-2.118091701281791
524.4756555815562,-0.01866645349959876,-2.208427166715317
546.6614737625438,-0.01883398481831659,-2.300962057146648
569.7857731163404,-0.01893342315469383,-2.39907768194702
