#, Frequency (Hz), Amplitude (Vpp), Gain (dB), Phase (°)
1,10.0,1.0000,0.08,-0.18
2,11.0,1.0000,0.08,-0.18
3,12.1,1.0000,0.05,-0.18
4,13.3,1.0000,0.05,-0.05
5,14.6,1.0000,0.04,-0.03
6,16.1,1.0000,0.07,-0.02
7,17.6,1.0000,0.08,-0.10
8,19.4,1.0000,0.08,-0.17
9,21.3,1.0000,0.04,-0.18
10,23.4,1.0000,0.07,-0.18
11,25.8,1.0000,0.08,-0.18
12,28.3,1.0000,0.04,-0.12
13,31.1,1.0000,0.06,-0.18
14,34.2,1.0000,0.04,-0.18
15,37.6,1.0000,0.05,-0.32
16,41.4,1.0000,0.07,-0.23
17,45.5,1.0000,0.04,-0.33
18,50.0,1.0000,0.04,-0.18
19,54.9,1.0000,0.08,-0.35
20,60.4,1.0000,0.07,-0.35
21,66.4,1.0000,0.05,-0.35
22,73.0,1.0000,0.04,-0.35
23,80.2,1.0000,0.04,-0.47
24,88.2,1.0000,0.04,-0.35
25,96.9,1.0000,0.08,-0.53
26,106.5,1.0000,0.04,-0.53
27,117.1,1.0000,0.06,-0.60
28,128.7,1.0000,0.07,-0.70
29,141.5,1.0000,0.04,-0.54
30,155.6,1.0000,0.05,-0.70
31,171.0,1.0000,0.06,-0.88
32,188.0,1.0000,0.07,-0.88
33,206.6,1.0000,0.04,-1.02
34,227.1,1.0000,0.07,-1.05
35,249.7,1.0000,0.07,-1.21
36,274.5,1.0000,0.05,-1.36
37,301.7,1.0000,0.08,-1.58
38,331.7,1.0000,0.04,-1.58
39,364.6,1.0000,0.04,-1.75
40,400.8,1.0000,0.04,-1.77
41,440.5,1.0000,0.04,-2.11
42,484.3,1.0000,0.06,-2.19
43,532.3,1.0000,0.04,-2.50
44,585.2,1.0000,0.04,-2.65
45,643.3,1.0000,0.04,-2.99
46,707.1,1.0000,0.04,-3.16
47,777.3,1.0000,0.04,-3.69
48,854.4,1.0000,0.03,-3.91
49,939.3,1.0000,0.04,-4.49
50,1032.5,1.0000,0.04,-4.80
51,1135.0,1.0000,0.00,-5.27
52,1247.6,1.0000,-0.04,-5.63
53,1371.5,1.0000,-0.02,-6.15
54,1507.6,1.0000,-0.04,-6.86
55,1657.2,1.0000,-0.04,-7.38
56,1821.7,1.0000,-0.01,-8.09
57,2002.5,1.0000,-0.04,-8.81
58,2201.3,1.0000,-0.04,-9.67
59,2419.8,1.0000,-0.08,-10.55
60,2660.0,1.0000,-0.05,-11.46
61,2924.0,1.0000,-0.10,-12.48
62,3214.3,1.0000,-0.08,-13.71
63,3533.3,1.0000,-0.11,-15.08
64,3884.0,1.0000,-0.11,-16.52
65,4269.5,1.0000,-0.12,-18.11
66,4693.3,1.0000,-0.12,-19.86
67,5159.1,1.0000,-0.16,-21.94
68,5671.2,1.0000,-0.16,-23.95
69,6234.2,1.0000,-0.16,-26.37
70,6852.9,1.0000,-0.20,-29.18
71,7533.2,1.0000,-0.23,-32.20
72,8280.9,1.0000,-0.27,-35.68
73,9102.8,1.0000,-0.34,-39.38
74,10006.3,1.0000,-0.42,-43.63
75,10999.6,1.0000,-0.54,-48.34
76,12091.4,1.0000,-0.70,-53.61
77,13291.5,1.0000,-0.90,-59.49
78,14610.8,1.0000,-1.21,-65.73
79,16061.1,1.0000,-1.64,-72.72
80,17655.2,1.0000,-2.15,-79.98
81,19407.7,1.0000,-2.82,-87.40
82,21334.0,1.0000,-3.67,-95.10
83,23451.6,1.0000,-4.65,-102.73
84,25779.4,1.0000,-5.77,-110.04
85,28338.2,1.0000,-7.00,-116.89
86,31151.0,1.0000,-8.36,-123.34
87,34243.0,1.0000,-9.80,-129.20
88,37641.9,1.0000,-11.25,-134.65
89,41378.1,1.0000,-12.77,-139.43
90,45485.2,1.0000,-14.30,-144.18
91,50000.0,1.0000,-15.86,-148.22
