#Digilent WaveForms Curve Tracer Trace
#Type:N-FET
#Frequency:10 kHz
#RDrain:470 Ohm
#Resolution:
#Vce:0 V
#Ic:7.81650122 uA
#Vbe:3.67412803 mV
#Ib:0 A
Vds (V),Id (A),Vgs (V),Vrd (V),Vrg (V)
0,-1.363643455805314e-05,-0.0133860059673077,5,0
0,-2.14529357743519e-05,0.0894895790072735,5,0.1
0,-1.363643455805314e-05,0.1850169079122418,5,0.2
0,-2.14529357743519e-05,0.2878924928868229,5,0.3
0,-1.363643455805314e-05,0.3870939498265977,5,0.4
0,-1.363643455805314e-05,0.4862954067663725,5,0.5
0,-1.363643455805314e-05,0.5854968637061472,5,0.6
0,-1.363643455805314e-05,0.6883724486807283,5,0.7
0,1.996567874544401e-06,0.7875739056205031,5,0.8
0,1.762957030714194e-05,0.8867753625602778,5,0.9
0,4.107907395603824e-05,0.989650947534859,5,1
0,8.016158003753209e-05,1.088852404474634,5,1.1
0,0.0001192440861190259,1.191727989449215,5,1.2
0,0.0001661430934168185,1.29092944638899,5,1.3
0,0.0002208586019309099,1.390130903328764,5,1.4
0,0.0002833906116613001,1.489332360268539,5,1.5
0,0.0003459226213916902,1.588533817208314,5,1.6
0,0.0004240876335546779,1.691409402182895,5,1.7
0,0.0005100691469339644,1.79061085912267,5,1.8
0,0.0005960506603132508,1.889812316062445,5,1.9
0,0.000689848674908836,1.992687901037026,5,2
0,0.0007836466895044213,2.091889357976801,5,2.1
0,0.0008852612053163052,2.191090814916576,5,2.2
0,0.000994692222344488,2.293966399891156,5,2.3
0,0.00111193974058897,2.393167856830931,5,2.4
0,0.001229187258833451,2.492369313770706,5,2.5
0,0.00136206777951053,2.591570770710481,5,2.6
0,0.00148713179897131,2.694446355685062,5,2.7
0,0.001620012319648389,2.793647812624837,5,2.8
0,0.001752892840325469,2.892849269564612,5,2.9
0,0.001893589862218846,2.992050726504386,5,3
0,0.002034286884112224,3.091252183444161,5,3.1
0,0.002182800407221901,3.190453640383935,5,3.2
0,0.002339130431547876,3.293329225358517,5,3.3
0,0.002495460455873851,3.392530682298291,5,3.4
0,0.002659606981416126,3.495406267272873,5,3.5
0,0.002808120504525803,3.594607724212648,5,3.6
0,0.002972267030068076,3.693809181152422,5,3.7
0,0.003144230056826649,3.793010638092197,5,3.8
0,0.003308376582368924,3.892212095031972,5,3.9
0,0.003472523107911198,3.991413551971746,5,4
0,0.00365230263588607,4.090615008911521,5,4.1
0,0.003816449161428343,4.193490593886102,5,4.2
0,0.003988412188186917,4.292692050825877,5,4.3
0,0.004168191716161788,4.391893507765651,5,4.4
0,0.004324521740487764,4.494769092740232,5,4.5
0,0.004488668266030038,4.593970549680007,5,4.6
0,0.004644998290356013,4.696846134654589,5,4.7
0,0.004770062309816793,4.796047591594363,5,4.8
0,0.004902942830493872,4.895249048534138,5,4.9
0,0.005035823351170952,4.998124633508719,5,5
