#Digilent WaveForms Data Logger
#Device Name: Discovery2
#Serial Number: SN:210321AA2E82
#Date Time: 2024-09-29 17:56:27.270

Time (s),C1 (V),C2 (V)
0,5.147869942797286,8.099088694885381
1,5.147869942797286,8.099088694885381
2,5.147869942797286,8.099088694885381
3,5.151543698368947,8.102762822920189
4,5.151543698368947,8.102762822920189
5,4.978877186500908,8.036628518293671
6,3.674693958561457,7.162186046009731
7,3.35140346825534,6.629437480962793
8,2.190496707610647,4.527836245053491
9,1.650454638576565,3.480709755133647
10,1.455745593278563,3.098600439513774
11,1.2573627924089,2.701794611754675
12,0.952441079961085,2.084541101907188
13,0.8863134796711974,1.955946620688961
14,0.8826397240995369,1.944924236584542
15,0.7724270569497244,1.713454170391734
16,0.64751936751327,1.459939335990087
17,0.6218030785116471,1.397479159398377
18,0.5960867895100241,1.346041366911087
19,0.4895478779318719,1.125593684822698
20,0.4270940332136447,0.989650947534859
21,0.3499451662087759,0.8243151859685678
22,0.2691225436322466,0.6479570402978572
23,0.2434062546306236,0.5854968637061472
24,0.2397324990589632,0.5818227356713407
25,0.1478886097674527,0.3723974376873718
26,0.02298092033099832,0.08581545097246704
27,-0.01743039095726631,-0.006037749897694752
28,-0.01743039095726631,-0.006037749897694752
29,-0.01743039095726631,-0.006037749897694752
30,-0.01743039095726631,-0.006037749897694752
31,-0.01743039095726631,-0.006037749897694752
