Time (s),Vin (V),Vout (V)
0.0041375,-0.000938387,-0.616627264
0.00415,-0.015633409,-1.024455476
0.0041625,-0.030328431,-1.469024968
0.004175,-0.045023454,-1.950335741
0.0041875,-0.063392232,-2.442668898
0.0042,-0.081761009,-2.927653798
0.0042125,-0.096456032,-3.331807882
0.004225,-0.111151054,-3.493469516
0.0042375,-0.125846076,-3.537559052
0.00425,-0.140541099,-3.570626204
0.0042625,-0.155236121,-3.600019229
0.004275,-0.169931143,-3.633086381
0.0042875,-0.188299921,-3.662479405
0.0043,-0.202994943,-3.691872429
0.0043125,-0.217689966,-3.72861371
0.004325,-0.232384988,-3.76535499
0.0043375,-0.24708001,-3.9894768
0.00435,-0.269122544,-4.456091061
0.0043625,-0.28014381,-4.577337286
0.004375,-0.298512588,-4.60673031
0.0043875,-0.31320761,-4.62510095
0.0044,-0.327902633,-4.639797462
0.0044125,-0.346271411,-4.654493975
0.004425,-0.360966433,-4.665516359
0.0044375,-0.3719877,-4.683886999
0.00445,-0.386682722,-4.694909383
0.0044625,-0.4050515,-4.709605895
0.004475,-0.419746522,-4.724302407
0.0044875,-0.434441544,-4.731650663
0.0045,-0.452810322,-4.746347175
0.0045125,-0.467505345,-4.75736956
0.004525,-0.482200367,-4.772066072
0.0045375,-0.500569145,-4.779414328
0.00455,-0.515264167,-4.790436712
0.0045625,-0.529959189,-4.797784968
0.004575,-0.544654212,-4.808807352
0.0045875,-0.559349234,-4.816155608
0.0046,-0.574044256,-4.827177992
0.0046125,-0.588739278,-4.834526248
0.004625,-0.603434301,-4.845548632
0.0046375,-0.618129323,-4.852896888
0.00465,-0.632824345,-4.860245145
0.0046625,-0.651193123,-4.867593401
0.004675,-0.66221439,-4.874941657
0.0046875,-0.676909412,-4.882289913
0.0047,-0.691604434,-4.885964041
0.0047125,-0.706299457,-4.893312297
0.004725,-0.720994479,-4.900660553
0.0047375,-0.735689501,-4.904334681
0.00475,-0.750384524,-4.911682937
0.0047625,-0.768753301,-4.915357065
0.004775,-0.783448324,-4.919031193
0.0047875,-0.79446959,-4.926379449
0.0048,-0.809164613,-4.930053577
0.0048125,-0.823859635,-4.933727705
0.004825,-0.834880902,-4.937401833
0.0048375,-0.85324968,-4.944750089
0.00485,-0.864270946,-4.944750089
0.0048625,-0.878965969,-4.948424217
0.004875,-0.893660991,-4.952098345
0.0048875,-0.908356013,-4.955772473
0.0049,-0.923051035,-4.959446602
0.0049125,-0.934072302,-4.96312073
0.004925,-0.945093569,-4.959446602
0.0049375,-0.963462347,-4.966794858
0.00495,-0.978157369,-4.966794858
0.0049625,-0.989178636,-4.970468986
0.004975,-1.003873658,-4.966794858
0.0049875,-1.022242436,-4.970468986
0.005,-1.029589947,-4.966794858
0.0050125,-1.044284969,-4.970468986
0.005025,-1.055306236,-4.970468986
0.0050375,-1.070001258,-4.974143114
0.00505,-1.081022525,-4.974143114
0.0050625,-1.099391303,-4.974143114
0.005075,-1.106738814,-4.970468986
0.0050875,-1.121433836,-4.974143114
0.0051,-1.136128859,-4.974143114
0.0051125,-1.147150125,-4.970468986
0.005125,-1.161845148,-4.974143114
0.0051375,-1.172866414,-4.974143114
0.00515,-1.187561437,-4.974143114
0.0051625,-1.198582703,-4.974143114
0.005175,-1.213277726,-4.974143114
0.0051875,-1.224298992,-4.977817242
0.0052,-1.238994015,-4.974143114
0.0052125,-1.250015281,-4.974143114
0.005225,-1.264710304,-4.977817242
0.0052375,-1.272057815,-4.974143114
0.00525,-1.286752837,-4.974143114
0.0052625,-1.297774104,-4.974143114
0.005275,-1.30879537,-4.974143114
0.0052875,-1.319816637,-4.974143114
0.0053,-1.330837904,-4.974143114
0.0053125,-1.345532926,-4.977817242
0.005325,-1.356554193,-4.974143114
0.0053375,-1.36757546,-4.974143114
0.00535,-1.378596726,-4.974143114
0.0053625,-1.389617993,-4.974143114
0.005375,-1.40063926,-4.974143114
0.0053875,-1.411660526,-4.974143114
0.0054,-1.422681793,-4.974143114
0.0054125,-1.43370306,-4.974143114
0.005425,-1.444724327,-4.974143114
0.0054375,-1.455745593,-4.970468986
0.00545,-1.463093104,-4.974143114
0.0054625,-1.477788127,-4.974143114
0.005475,-1.488809393,-4.974143114
0.0054875,-1.49983066,-4.974143114
0.0055,-1.507178171,-4.970468986
0.0055125,-1.518199438,-4.974143114
0.005525,-1.525546949,-4.974143114
0.0055375,-1.536568216,-4.974143114
0.00555,-1.547589483,-4.974143114
0.0055625,-1.558610749,-4.977817242
0.005575,-1.56595826,-4.974143114
0.0055875,-1.576979527,-4.974143114
0.0056,-1.584327038,-4.974143114
0.0056125,-1.595348305,-4.974143114
0.005625,-1.602695816,-4.974143114
0.0056375,-1.613717083,-4.977817242
0.00565,-1.62473835,-4.974143114
0.0056625,-1.632085861,-4.974143114
0.005675,-1.643107127,-4.974143114
0.0056875,-1.650454639,-4.974143114
0.0057,-1.65780215,-4.974143114
0.0057125,-1.668823416,-4.974143114
0.005725,-1.676170928,-4.974143114
0.0057375,-1.683518439,-4.974143114
0.00575,-1.69086595,-4.974143114
0.0057625,-1.701887217,-4.977817242
0.005775,-1.712908483,-4.974143114
0.0057875,-1.716582239,-4.974143114
0.0058,-1.72392975,-4.974143114
0.0058125,-1.734951017,-4.974143114
0.005825,-1.742298528,-4.974143114
0.0058375,-1.749646039,-4.974143114
0.00585,-1.75699355,-4.974143114
0.0058625,-1.764341061,-4.974143114
0.005875,-1.768014817,-4.974143114
0.0058875,-1.779036084,-4.974143114
0.0059,-1.782709839,-4.974143114
0.0059125,-1.79005735,-4.974143114
0.005925,-1.797404861,-4.974143114
0.0059375,-1.804752373,-4.974143114
0.00595,-1.808426128,-4.974143114
0.0059625,-1.815773639,-4.974143114
0.005975,-1.82312115,-4.974143114
0.0059875,-1.830468662,-4.977817242
0.006,-1.837816173,-4.974143114
0.0060125,-1.845163684,-4.974143114
0.006025,-1.848837439,-4.974143114
0.0060375,-1.856184951,-4.974143114
0.00605,-1.859858706,-4.974143114
0.0060625,-1.863532462,-4.974143114
0.006075,-1.870879973,-4.974143114
0.0060875,-1.874553728,-4.974143114
0.0061,-1.88190124,-4.977817242
0.0061125,-1.885574995,-4.974143114
0.006125,-1.889248751,-4.974143114
0.0061375,-1.896596262,-4.974143114
0.00615,-1.900270017,-4.974143114
0.0061625,-1.903943773,-4.974143114
0.006175,-1.911291284,-4.974143114
0.0061875,-1.91496504,-4.974143114
0.0062,-1.918638795,-4.974143114
0.0062125,-1.925986306,-4.974143114
0.006225,-1.929660062,-4.974143114
0.0062375,-1.929660062,-4.974143114
0.00625,-1.933333818,-4.977817242
0.0062625,-1.937007573,-4.974143114
0.006275,-1.944355084,-4.977817242
0.0062875,-1.944355084,-4.977817242
0.0063,-1.94802884,-4.974143114
0.0063125,-1.951702595,-4.974143114
0.006325,-1.955376351,-4.974143114
0.0063375,-1.959050107,-4.974143114
0.00635,-1.959050107,-4.974143114
0.0063625,-1.962723862,-4.977817242
0.006375,-1.966397618,-4.974143114
0.0063875,-1.970071373,-4.974143114
0.0064,-1.973745129,-4.974143114
0.0064125,-1.973745129,-4.974143114
0.006425,-1.973745129,-4.974143114
0.0064375,-1.98109264,-4.974143114
0.00645,-1.977418884,-4.974143114
0.0064625,-1.98109264,-4.974143114
0.006475,-1.98109264,-4.974143114
0.0064875,-1.984766396,-4.977817242
0.0065,-1.984766396,-4.974143114
0.0065125,-1.984766396,-4.974143114
0.006525,-1.988440151,-4.974143114
0.0065375,-1.988440151,-4.974143114
0.00655,-1.988440151,-4.974143114
0.0065625,-1.992113907,-4.977817242
0.006575,-1.988440151,-4.974143114
0.0065875,-1.992113907,-4.974143114
0.0066,-1.988440151,-4.974143114
0.0066125,-1.992113907,-4.974143114
0.006625,-1.988440151,-4.974143114
0.0066375,-1.992113907,-4.974143114
0.00665,-1.988440151,-4.974143114
0.0066625,-1.988440151,-4.977817242
0.006675,-1.988440151,-4.977817242
0.0066875,-1.988440151,-4.974143114
0.0067,-1.992113907,-4.977817242
0.0067125,-1.984766396,-4.977817242
0.006725,-1.988440151,-4.974143114
0.0067375,-1.984766396,-4.974143114
0.00675,-1.984766396,-4.974143114
0.0067625,-1.984766396,-4.974143114
0.006775,-1.984766396,-4.974143114
0.0067875,-1.98109264,-4.974143114
0.0068,-1.98109264,-4.974143114
0.0068125,-1.977418884,-4.974143114
0.006825,-1.973745129,-4.974143114
0.0068375,-1.977418884,-4.974143114
0.00685,-1.970071373,-4.974143114
0.0068625,-1.970071373,-4.974143114
0.006875,-1.966397618,-4.974143114
0.0068875,-1.966397618,-4.977817242
0.0069,-1.962723862,-4.977817242
0.0069125,-1.959050107,-4.974143114
0.006925,-1.959050107,-4.974143114
0.0069375,-1.955376351,-4.977817242
0.00695,-1.951702595,-4.974143114
0.0069625,-1.94802884,-4.974143114
0.006975,-1.944355084,-4.974143114
0.0069875,-1.937007573,-4.974143114
0.007,-1.937007573,-4.974143114
0.0070125,-1.933333818,-4.977817242
0.007025,-1.929660062,-4.974143114
0.0070375,-1.922312551,-4.974143114
0.00705,-1.922312551,-4.974143114
0.0070625,-1.91496504,-4.974143114
0.007075,-1.91496504,-4.974143114
