#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2E82
#Date Time: 2024-12-01 15:24:16.478
#Sample rate: 1.42857e+07Hz
#Samples: 8192
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Wavegen Channel 1: Enabled
#Mode: Simple
#Type: Square
#Frequency: 1 kHz
#Period: 1 ms
#Amplitude: 2.5 V
#Offset: 1.5 V
#Symmetry: 50 %
#Phase: 0 °
#Power Supplies: OFF
#Positive Supply: Rdy
#Voltage: 5 V
#Negative Supply: OFF
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.000286684,-1.031386928735543
-0.000286614,-1.024039417592222
-0.000286544,-1.024039417592224
-0.000286474,-1.027713173163882
-0.000286404,-1.024039417592222
-0.000286334,-1.02771317316388
-0.000286264,-1.024039417592222
-0.000286194,-1.024039417592222
-0.000286124,-1.02771317316388
-0.000286054,-1.024039417592222
-0.000285984,-1.024039417592222
-0.000285914,-1.02771317316388
-0.000285844,-1.024039417592222
-0.000285774,-1.031386928735543
-0.000285704,-1.027713173163886
-0.000285634,-1.035060684307203
-0.000285564,-1.031386928735543
-0.000285494,-1.031386928735543
-0.000285424,-1.031386928735543
-0.000285354,-1.031386928735543
-0.000285284,-1.024039417592228
-0.000285214,-1.038734439878857
-0.000285144,-1.035060684307203
-0.000285074,-1.027713173163884
-0.000285004,-1.031386928735541
-0.000284934,-1.031386928735543
-0.000284864,-1.024039417592222
-0.000284794,-1.024039417592222
-0.000284724,-1.024039417592222
-0.000284654,-1.02771317316388
-0.000284584,-1.024039417592224
-0.000284514,-1.027713173163882
-0.000284444,-1.031386928735541
-0.000284374,-1.027713173163884
-0.000284304,-1.024039417592222
-0.000284234,-1.024039417592222
-0.000284164,-1.024039417592222
-0.000284094,-1.031386928735543
-0.000284024,-1.031386928735539
-0.000283954,-1.024039417592225
-0.000283884,-1.031386928735543
-0.000283814,-1.031386928735539
-0.000283744,-1.024039417592225
-0.000283674,-1.024039417592222
-0.000283604,-1.024039417592219
-0.000283534,-1.016691906448904
-0.000283464,-1.020365662020561
-0.000283394,-1.016691906448906
-0.000283324,-1.027713173163877
-0.000283254,-1.024039417592222
-0.000283184,-1.02403941759222
-0.000283114,-1.020365662020563
-0.000283044,-1.020365662020561
-0.000282974,-1.016691906448904
-0.000282904,-1.024039417592219
-0.000282834,-1.024039417592222
-0.000282764,-1.020365662020563
-0.000282694,-1.02403941759222
-0.000282624,-1.024039417592222
-0.000282554,-1.024039417592222
-0.000282484,-1.020365662020563
-0.000282414,-1.024039417592222
-0.000282344,-1.020365662020561
-0.000282274,-1.027713173163879
-0.000282204,-1.031386928735543
-0.000282134,-1.027713173163882
-0.000282064,-1.027713173163882
-0.000281994,-1.024039417592222
-0.000281924,-1.027713173163882
-0.000281854,-1.027713173163882
-0.000281784,-1.035060684307203
-0.000281714,-1.031386928735543
-0.000281644,-1.031386928735543
-0.000281574,-1.031386928735543
-0.000281504,-1.027713173163882
-0.000281434,-1.031386928735541
-0.000281364,-1.031386928735543
-0.000281294,-1.031386928735543
-0.000281224,-1.035060684307201
-0.000281154,-1.031386928735543
-0.000281084,-1.031386928735543
-0.000281014,-1.024039417592225
-0.000280944,-1.027713173163882
-0.000280874,-1.027713173163882
-0.000280804,-1.027713173163882
-0.000280734,-1.031386928735543
-0.000280664,-1.031386928735543
-0.000280594,-1.027713173163884
-0.000280524,-1.027713173163882
-0.000280454,-1.027713173163882
-0.000280384,-1.031386928735541
-0.000280314,-1.027713173163882
-0.000280244,-1.024039417592222
-0.000280174,-1.02771317316388
-0.000280104,-1.027713173163882
-0.000280034,-1.027713173163882
-0.000279964,-1.027713173163882
-0.000279894,-1.024039417592222
-0.000279824,-1.024039417592222
-0.000279754,-1.020365662020563
-0.000279684,-1.027713173163882
-0.000279614,-1.024039417592222
-0.000279544,-1.031386928735539
-0.000279474,-1.027713173163882
-0.000279404,-1.027713173163882
-0.000279334,-1.020365662020565
-0.000279264,-1.027713173163882
-0.000279194,-1.027713173163882
-0.000279124,-1.024039417592224
-0.000279054,-1.031386928735543
-0.000278984,-1.027713173163882
-0.000278914,-1.027713173163882
-0.000278844,-1.035060684307203
-0.000278774,-1.027713173163882
-0.000278704,-1.024039417592224
-0.000278634,-1.020365662020561
-0.000278564,-1.024039417592222
-0.000278494,-1.024039417592222
-0.000278424,-1.027713173163882
-0.000278354,-1.020365662020561
-0.000278284,-1.027713173163879
-0.000278214,-1.027713173163882
-0.000278144,-1.024039417592222
-0.000278074,-1.027713173163882
-0.000278004,-1.027713173163882
-0.000277934,-1.027713173163882
-0.000277864,-1.031386928735541
-0.000277794,-1.027713173163882
-0.000277724,-1.035060684307203
-0.000277654,-1.031386928735543
-0.000277584,-1.031386928735543
-0.000277514,-1.031386928735543
-0.000277444,-1.031386928735539
-0.000277374,-1.024039417592222
-0.000277304,-1.031386928735543
-0.000277234,-1.027713173163884
-0.000277164,-1.031386928735543
-0.000277094,-1.027713173163882
-0.000277024,-1.02771317316388
-0.000276954,-1.024039417592222
-0.000276884,-1.027713173163882
-0.000276814,-1.0350606843072
-0.000276744,-1.027713173163882
-0.000276674,-1.035060684307203
-0.000276604,-1.031386928735541
-0.000276534,-1.027713173163882
-0.000276464,-1.031386928735543
