Time (s),Channel 1 (V)
-8.19E-05,-0.003010732
-8.19E-05,-0.003010732
-8.19E-05,-0.002676345
-8.18E-05,-0.002341958
-8.18E-05,-0.002341958
-8.18E-05,-0.001673185
-8.18E-05,-0.003010732
-8.18E-05,-0.001004412
-8.17E-05,-0.002007572
-8.17E-05,-0.002007572
-8.17E-05,-0.002007572
-8.17E-05,-0.002007572
-8.17E-05,-0.002007572
-8.16E-05,-0.001673185
-8.16E-05,-0.001004412
-8.16E-05,-0.002007572
-8.16E-05,-0.001673185
-8.16E-05,-0.001673185
-8.15E-05,-0.001673185
-8.15E-05,-0.001338799
-8.15E-05,-0.001338799
-8.15E-05,-0.002676345
-8.15E-05,-0.002007572
-8.14E-05,-0.002341958
-8.14E-05,-0.003345118
-8.14E-05,-0.002341958
-8.14E-05,-0.000670025
-8.14E-05,-0.001004412
-8.13E-05,-0.004348278
-8.13E-05,-0.004013892
-8.13E-05,-0.000670025
-8.13E-05,-1.25E-06
-8.13E-05,-0.002676345
-8.12E-05,-0.005017052
-8.12E-05,-0.001673185
-8.12E-05,-0.002341958
-8.12E-05,-0.004013892
-8.12E-05,-0.001338799
-8.11E-05,-0.001338799
-8.11E-05,-0.002007572
-8.11E-05,-0.001338799
-8.11E-05,-0.001338799
-8.11E-05,-0.002341958
-8.10E-05,-0.002676345
-8.10E-05,-1.25E-06
-8.10E-05,-0.001338799
-8.10E-05,-0.002007572
-8.10E-05,-0.002007572
-8.09E-05,-0.002676345
-8.09E-05,-0.003010732
-8.09E-05,-0.002341958
-8.09E-05,-0.002341958
-8.09E-05,-0.003679505
-8.08E-05,-0.000335639
-8.08E-05,-0.002341958
-8.08E-05,-0.003010732
-8.08E-05,-0.001004412
-8.08E-05,-0.003010732
-8.07E-05,-0.003010732
-8.07E-05,-0.002007572
-8.07E-05,-0.001673185
-8.07E-05,-0.002676345
-8.07E-05,-0.002676345
-8.06E-05,-0.000670025
-8.06E-05,-0.002341958
-8.06E-05,-0.002341958
-8.06E-05,-0.002007572
-8.06E-05,-0.002676345
-8.05E-05,-0.001004412
-8.05E-05,-0.000670025
-8.05E-05,-0.002007572
-8.05E-05,-0.001338799
-8.05E-05,-0.002007572
-8.04E-05,-0.001338799
-8.04E-05,-0.001673185
-8.04E-05,-0.002007572
-8.04E-05,-0.002341958
-8.04E-05,-0.001673185
-8.03E-05,-0.002007572
