time	V(voa)	V(vosc)
0.000000000000000e+00	6.257398e-03	1.287025e-04
3.261056253177233e-04	6.257290e-03	1.286516e-04
3.332205806748661e-04	6.257841e-03	1.289248e-04
3.403355360320090e-04	6.258147e-03	1.290755e-04
3.474504913891519e-04	6.258208e-03	1.291038e-04
3.545654467462947e-04	6.258025e-03	1.290097e-04
3.616804021034376e-04	6.257597e-03	1.287930e-04
3.687953574605804e-04	6.256924e-03	1.284540e-04
3.759103128177233e-04	6.256008e-03	1.279924e-04
3.817696878177233e-04	6.254549e-03	1.272755e-04
3.876290628177233e-04	6.253222e-03	1.266354e-04
3.934884378177233e-04	6.252700e-03	1.264056e-04
3.993478128177233e-04	6.253809e-03	1.269931e-04
4.110665628177233e-04	6.263446e-03	1.318234e-04
4.139962503177233e-04	6.267363e-03	1.337605e-04
4.169259378177233e-04	6.271603e-03	1.358446e-04
4.198556253177233e-04	6.275867e-03	1.379258e-04
4.227853128177233e-04	6.279761e-03	1.398062e-04
4.257150003177233e-04	6.282795e-03	1.412430e-04
4.286446878177233e-04	6.284405e-03	1.419566e-04
4.315743753177234e-04	6.283978e-03	1.416461e-04
4.345040628177234e-04	6.280898e-03	1.400100e-04
4.374337503177234e-04	6.274597e-03	1.367749e-04
4.432931253177234e-04	6.250766e-03	1.247699e-04
4.462228128177234e-04	6.233046e-03	1.159331e-04
4.491525003177234e-04	6.211908e-03	1.054504e-04
4.520821878177234e-04	6.188247e-03	9.378257e-05
4.550118753177234e-04	6.163489e-03	8.165128e-05
4.579415628177234e-04	6.139623e-03	7.005526e-05
4.608712503177234e-04	6.119196e-03	6.026516e-05
4.638009378177234e-04	6.105254e-03	5.379118e-05
4.667306253177234e-04	6.101212e-03	5.231743e-05
4.696603128177234e-04	6.110648e-03	5.759871e-05
4.725900003177234e-04	6.137026e-03	7.131723e-05
4.755196878177234e-04	6.183319e-03	9.489990e-05
4.813790628177234e-04	6.342444e-03	1.747579e-04
4.843087503177234e-04	6.454609e-03	2.305398e-04
4.872384378177234e-04	6.584339e-03	2.947010e-04
4.901681253177233e-04	6.725027e-03	3.638745e-04
4.930978128177234e-04	6.866893e-03	4.331310e-04
4.960275003177234e-04	6.996891e-03	4.959411e-04
4.989571878177234e-04	7.098876e-03	5.442764e-04
5.018868753177234e-04	7.154149e-03	5.688850e-04
5.048165628177234e-04	7.142384e-03	5.597727e-04
5.077462503177234e-04	7.043039e-03	5.069087e-04
5.106759378177234e-04	6.837229e-03	4.011640e-04
5.136056253177234e-04	6.510042e-03	2.354661e-04
5.165353128177234e-04	6.053242e-03	6.133899e-06
5.194650003177234e-04	5.468204e-03	-2.856793e-04
5.223946878177234e-04	4.768883e-03	-6.325325e-04
5.253243753177234e-04	3.984565e-03	-1.019371e-03
5.282540628177234e-04	3.162040e-03	-1.423778e-03
5.307073219716621e-04	2.489115e-03	-1.753517e-03
